iter	Passed	Remaining
0	13	4095
1	24	3647
2	35	3536
3	45	3380
4	57	3389
5	68	3360
6	80	3369
7	91	3326
8	100	3243
9	110	3212
10	121	3192
11	132	3191
12	145	3208
13	158	3240
14	169	3224
15	180	3199
16	189	3147
17	200	3140
18	210	3115
19	220	3087
20	231	3069
21	240	3040
22	251	3030
23	262	3022
24	274	3020
25	287	3026
26	297	3004
27	307	2983
28	317	2970
29	327	2951
30	339	2948
31	349	2929
32	360	2915
33	370	2896
34	379	2875
35	390	2863
36	401	2851
37	411	2839
38	421	2820
39	431	2801
40	441	2786
41	450	2767
42	464	2774
43	474	2763
44	485	2749
45	497	2746
46	506	2728
47	517	2719
48	528	2707
49	540	2700
50	551	2691
51	561	2676
52	572	2666
53	581	2651
54	591	2635
55	602	2627
56	614	2617
57	625	2609
58	635	2594
59	644	2578
60	655	2567
61	665	2555
62	676	2543
63	686	2531
64	695	2515
65	707	2507
66	717	2494
67	727	2483
68	738	2470
69	748	2458
70	760	2451
71	769	2436
72	780	2427
73	790	2415
74	801	2403
75	813	2397
76	823	2384
77	835	2378
78	844	2363
79	855	2353
80	868	2348
81	879	2337
82	890	2328
83	899	2313
84	908	2298
85	920	2290
86	931	2279
87	943	2272
88	954	2261
89	963	2247
90	972	2234
91	982	2220
92	995	2216
93	1006	2205
94	1016	2193
95	1027	2184
96	1036	2170
97	1048	2161
98	1060	2153
99	1073	2146
100	1084	2135
101	1094	2124
102	1104	2112
103	1116	2103
104	1128	2094
105	1139	2085
106	1151	2076
107	1160	2062
108	1171	2052
109	1181	2040
110	1195	2035
111	1206	2025
112	1217	2014
113	1228	2004
114	1237	1991
115	1247	1978
116	1258	1968
117	1270	1959
118	1280	1948
119	1291	1936
120	1301	1924
121	1312	1914
122	1322	1902
123	1334	1893
124	1345	1883
125	1354	1870
126	1364	1858
127	1373	1845
128	1386	1838
129	1397	1827
130	1410	1819
131	1420	1807
132	1429	1795
133	1439	1783
134	1450	1772
135	1462	1764
136	1473	1753
137	1486	1745
138	1496	1733
139	1508	1724
140	1519	1714
141	1532	1705
142	1543	1694
143	1552	1681
144	1563	1671
145	1573	1659
146	1586	1650
147	1596	1639
148	1607	1629
149	1617	1617
150	1627	1606
151	1637	1594
152	1647	1583
153	1658	1572
154	1669	1561
155	1678	1549
156	1688	1537
157	1699	1527
158	1710	1517
159	1721	1506
160	1731	1495
161	1743	1484
162	1753	1473
163	1762	1461
164	1773	1451
165	1785	1440
166	1799	1433
167	1809	1421
168	1819	1410
169	1829	1398
170	1838	1387
171	1848	1375
172	1857	1363
173	1870	1354
174	1880	1343
175	1891	1332
176	1900	1320
177	1913	1311
178	1924	1300
179	1935	1290
180	1944	1278
181	1954	1267
182	1963	1255
183	1974	1244
184	1986	1234
185	1996	1223
186	2008	1213
187	2017	1202
188	2027	1190
189	2038	1180
190	2049	1169
191	2061	1159
192	2071	1148
193	2082	1137
194	2093	1127
195	2106	1117
196	2116	1106
197	2129	1097
198	2139	1085
199	2148	1074
200	2159	1063
201	2170	1053
202	2181	1042
203	2192	1031
204	2203	1021
205	2212	1009
206	2223	998
207	2234	988
208	2245	977
209	2256	966
210	2265	955
211	2276	945
212	2285	933
213	2297	923
214	2307	912
215	2319	902
216	2329	890
217	2339	880
218	2349	869
219	2359	857
220	2371	847
221	2381	836
222	2393	826
223	2403	815
224	2413	804
225	2422	793
226	2434	783
227	2446	772
228	2456	761
229	2466	750
230	2476	739
231	2487	729
232	2497	718
233	2509	707
234	2520	697
235	2530	686
236	2540	675
237	2549	664
238	2559	653
239	2570	642
240	2583	632
241	2594	621
242	2605	611
243	2615	600
244	2626	589
245	2637	579
246	2649	568
247	2660	557
248	2669	546
249	2682	536
250	2691	525
251	2702	514
252	2713	504
253	2723	493
254	2733	482
255	2743	471
256	2753	460
257	2763	449
258	2773	439
259	2785	428
260	2797	418
261	2807	407
262	2818	396
263	2829	385
264	2839	375
265	2851	364
266	2860	353
267	2872	343
268	2882	332
269	2894	321
270	2905	310
271	2917	300
272	2927	289
273	2937	278
274	2948	268
275	2960	257
276	2972	246
277	2983	236
278	2995	225
279	3005	214
280	3015	203
281	3026	193
282	3037	182
283	3049	171
284	3061	161
285	3077	150
286	3088	139
287	3100	129
288	3110	118
289	3120	107
290	3130	96
291	3140	86
292	3152	75
293	3163	64
294	3176	53
295	3186	43
296	3197	32
297	3207	21
298	3217	10
299	3229	0
