iter	Passed	Remaining
0	16	4786
1	30	4498
2	45	4547
3	62	4615
4	75	4445
5	90	4424
6	103	4348
7	122	4473
8	136	4416
9	149	4347
10	162	4282
11	177	4257
12	193	4268
13	208	4257
14	222	4221
15	236	4191
16	253	4219
17	266	4174
18	280	4155
19	295	4130
20	311	4133
21	327	4137
22	344	4145
23	360	4149
24	377	4154
25	392	4132
26	405	4097
27	418	4065
28	434	4059
29	453	4085
30	468	4064
31	481	4028
32	494	3999
33	510	3993
34	526	3987
35	540	3966
36	555	3949
37	574	3958
38	589	3946
39	603	3924
40	618	3906
41	634	3897
42	649	3884
43	663	3862
44	677	3836
45	691	3819
46	708	3813
47	725	3807
48	739	3786
49	754	3774
50	769	3759
51	785	3746
52	801	3735
53	815	3714
54	833	3711
55	850	3703
56	864	3684
57	878	3666
58	895	3658
59	916	3664
60	936	3667
61	952	3655
62	970	3652
63	986	3639
64	1000	3618
65	1015	3600
66	1032	3589
67	1049	3579
68	1062	3558
69	1075	3534
70	1091	3519
71	1106	3503
72	1120	3485
73	1136	3470
74	1152	3458
75	1168	3445
76	1181	3422
77	1194	3399
78	1207	3376
79	1220	3356
80	1238	3349
81	1253	3333
82	1267	3314
83	1280	3293
84	1295	3275
85	1309	3258
86	1322	3236
87	1335	3217
88	1351	3204
89	1367	3191
90	1380	3170
91	1394	3152
92	1407	3133
93	1423	3119
94	1441	3110
95	1455	3093
96	1468	3072
97	1481	3054
98	1498	3042
99	1514	3029
100	1530	3015
101	1547	3004
102	1569	3001
103	1584	2986
104	1600	2971
105	1615	2955
106	1632	2944
107	1648	2930
108	1662	2913
109	1679	2900
110	1696	2888
111	1713	2876
112	1728	2859
113	1744	2847
114	1761	2834
115	1774	2815
116	1790	2801
117	1806	2786
118	1826	2777
119	1841	2762
120	1858	2749
121	1873	2733
122	1891	2722
123	1907	2707
124	1921	2690
125	1938	2677
126	1955	2664
127	1975	2654
128	1991	2640
129	2010	2628
130	2030	2619
131	2047	2605
132	2064	2592
133	2082	2579
134	2104	2572
135	2122	2559
136	2140	2546
137	2163	2540
138	2180	2525
139	2197	2511
140	2216	2499
141	2235	2487
142	2250	2471
143	2266	2455
144	2284	2442
145	2305	2431
146	2319	2414
147	2335	2399
148	2353	2384
149	2368	2368
150	2385	2353
151	2401	2338
152	2419	2324
153	2434	2308
154	2451	2293
155	2468	2278
156	2489	2267
157	2507	2253
158	2524	2238
159	2545	2227
160	2563	2213
161	2581	2199
162	2598	2184
163	2619	2171
164	2635	2156
165	2649	2139
166	2665	2122
167	2681	2106
168	2697	2090
169	2712	2074
170	2728	2058
171	2746	2043
172	2763	2028
173	2778	2012
174	2794	1996
175	2811	1980
176	2828	1965
177	2844	1949
178	2859	1932
179	2875	1917
180	2890	1900
181	2905	1883
182	2925	1870
183	2943	1855
184	2964	1842
185	2983	1828
186	3004	1815
187	3022	1800
188	3043	1787
189	3058	1770
190	3079	1757
191	3095	1740
192	3111	1724
193	3129	1709
194	3145	1693
195	3161	1677
196	3176	1660
197	3200	1648
198	3217	1633
199	3235	1617
200	3250	1601
201	3269	1586
202	3286	1570
203	3300	1553
204	3317	1537
205	3336	1522
206	3352	1506
207	3369	1490
208	3385	1473
209	3406	1460
210	3425	1445
211	3441	1428
212	3460	1413
213	3480	1398
214	3497	1382
215	3519	1368
216	3538	1353
217	3557	1338
218	3573	1321
219	3593	1306
220	3613	1291
221	3634	1276
222	3654	1261
223	3674	1246
224	3697	1232
225	3726	1220
226	3753	1207
227	3776	1192
228	3795	1176
229	3811	1159
230	3826	1143
231	3841	1126
232	3859	1109
233	3876	1093
234	3892	1076
235	3908	1059
236	3927	1044
237	3943	1027
238	3957	1010
239	3974	993
240	3994	977
241	4018	963
242	4036	946
243	4057	931
244	4075	914
245	4090	897
246	4108	881
247	4127	865
248	4146	849
249	4163	832
250	4183	816
251	4201	800
252	4216	783
253	4230	766
254	4247	749
255	4263	732
256	4279	715
257	4294	699
258	4314	683
259	4331	666
260	4347	649
261	4362	632
262	4380	616
263	4400	600
264	4418	583
265	4434	566
266	4453	550
267	4469	533
268	4484	516
269	4500	500
270	4519	483
271	4537	467
272	4556	450
273	4574	434
274	4591	417
275	4605	400
276	4619	383
277	4633	366
278	4652	350
279	4671	333
280	4686	316
281	4703	300
282	4719	283
283	4735	266
284	4751	250
285	4769	233
286	4787	216
287	4805	200
288	4820	183
289	4837	166
290	4851	150
291	4865	133
292	4878	116
293	4895	99
294	4913	83
295	4928	66
296	4942	49
297	4956	33
298	4971	16
299	4985	0
